feature,importance
V14,1.896878
V4,1.1136154
V12,0.7294581
v_std,0.69291854
V10,0.552123
V11,0.45547286
v4_amount_interaction,0.43283236
v_min,0.41247854
V3,0.35718545
V8,0.32221216
V19,0.26450583
V16,0.22088294
v_range,0.20230462
v1_v2_interaction,0.18360643
V28,0.17990212
amount_decimal,0.16857715
V26,0.15915725
V13,0.15047395
v_mean,0.14311957
V18,0.14066344
v_max,0.13964595
V22,0.13853781
V15,0.13497818
V21,0.13149376
V9,0.13142216
V7,0.1292973
V1,0.12572023
V24,0.12358931
hour_cos,0.121860825
V25,0.11892082
V5,0.11775379
V6,0.11346285
V20,0.105524935
Amount,0.10015889
V23,0.09987438
hour_sin,0.09897599
V17,0.09697736
V27,0.09240486
Time,0.08977374
hour,0.08833668
amount_log,0.06769811
V2,0.05900701
day,0.023567382
v_extreme_count,0.015386519
is_round_amount,0.00040882418
amount_percentile,0.0
